Frame,Bounce,Person1_X,Person1_Y,Person2_X,Person2_Y,Ball_Frame_X,Ball_Frame_Y
160,0,849.0,298.5,954.0,939.0,784.5,268.5
161,0,847.5,301.5,954.0,939.0,784.5,256.5
162,0,849.0,301.5,955.5,940.5,787.5,256.5
163,0,844.5,300.0,961.5,939.0,787.5,253.5
164,0,847.5,300.0,969.0,939.0,784.5,247.5
165,0,850.5,300.0,978.0,943.5,778.5,244.5
166,0,850.5,300.0,988.5,946.5,775.5,241.5
167,0,843.0,300.0,994.5,954.0,772.5,238.5
168,0,837.0,298.5,1002.0,958.5,772.5,241.5
169,0,837.0,298.5,1005.0,960.0,766.5,241.5
170,0,838.5,297.0,1005.0,961.5,763.5,250.5
171,0,840.0,298.5,1003.5,961.5,760.5,256.5
172,0,841.5,298.5,1003.5,961.5,760.5,271.5
173,0,841.5,298.5,994.5,964.5,757.5,280.5
174,0,843.0,298.5,979.5,967.5,757.5,298.5
175,0,843.0,298.5,973.5,972.0,754.5,316.5
176,0,849.0,297.0,969.0,970.5,757.5,337.5
177,0,853.5,297.0,960.0,969.0,754.5,364.5
178,0,861.0,295.5,949.5,970.5,757.5,391.5
179,0,871.5,292.5,937.5,967.5,757.5,427.5
180,0,879.0,294.0,921.0,967.5,757.5,457.5
181,0,885.0,294.0,910.5,966.0,760.5,496.5
182,0,889.5,298.5,898.5,963.0,763.5,538.5
183,0,895.5,300.0,891.0,963.0,766.5,577.5
184,0,906.0,301.5,885.0,964.5,772.5,634.5
185,0,913.5,298.5,880.5,964.5,775.5,679.5
186,0,921.0,301.5,876.0,964.5,775.5,721.5
187,1,924.0,303.0,871.5,957.0,775.5,718.5
188,0,924.0,300.0,868.5,954.0,775.5,712.5
189,0,925.5,301.5,867.0,957.0,775.5,709.5
190,0,931.5,301.5,864.0,936.0,778.5,709.5
191,0,933.0,300.0,856.5,928.5,781.5,709.5
192,0,939.0,298.5,852.0,909.0,778.5,718.5
193,0,943.5,295.5,867.0,916.5,775.5,724.5
194,0,946.5,295.5,877.5,915.0,,
195,0,952.5,295.5,880.5,913.5,823.5,625.5
196,0,957.0,295.5,882.0,913.5,850.5,580.5
197,0,964.5,297.0,892.5,912.0,871.5,526.5
198,0,970.5,300.0,897.0,913.5,889.5,490.5
199,0,972.0,297.0,894.0,907.5,907.5,457.5
200,0,972.0,300.0,894.0,909.0,922.5,433.5
201,0,970.5,297.0,886.5,910.5,937.5,409.5
202,0,969.0,292.5,897.0,919.5,949.5,388.5
203,0,973.5,297.0,898.5,924.0,955.5,379.5
204,0,973.5,298.5,900.0,931.5,967.5,364.5
205,0,973.5,297.0,901.5,924.0,976.5,355.5
206,0,972.0,297.0,901.5,925.5,982.5,349.5
207,0,969.0,295.5,891.0,930.0,991.5,346.5
208,0,970.5,297.0,882.0,927.0,997.5,340.5
209,0,975.0,297.0,879.0,928.5,1003.5,337.5
210,0,982.5,298.5,873.0,924.0,1009.5,334.5
211,0,982.5,300.0,870.0,919.5,1012.5,337.5
212,0,985.5,300.0,868.5,915.0,1018.5,340.5
213,1,987.0,301.5,867.0,918.0,1021.5,343.5
214,0,990.0,301.5,859.5,918.0,1027.5,322.5
215,0,988.5,301.5,858.0,930.0,1027.5,304.5
216,0,985.5,301.5,859.5,921.0,1030.5,289.5
217,0,987.0,301.5,858.0,927.0,1033.5,274.5
218,0,990.0,301.5,853.5,933.0,1036.5,265.5
219,0,996.0,303.0,849.0,933.0,1039.5,250.5
220,0,991.5,303.0,843.0,931.5,1033.5,247.5
221,0,988.5,300.0,840.0,934.5,1024.5,250.5
222,0,982.5,300.0,832.5,939.0,1015.5,250.5
223,0,981.0,301.5,817.5,946.5,,
224,0,981.0,301.5,807.0,951.0,,
225,0,982.5,301.5,802.5,957.0,,
226,0,981.0,300.0,799.5,963.0,979.5,280.5
227,0,981.0,301.5,804.0,964.5,964.5,295.5
228,0,982.5,301.5,802.5,967.5,955.5,304.5
229,0,982.5,301.5,795.0,966.0,943.5,322.5
230,0,984.0,301.5,778.5,961.5,931.5,337.5
231,0,987.0,300.0,754.5,963.0,925.5,358.5
232,0,987.0,300.0,739.5,961.5,913.5,382.5
233,0,985.5,300.0,720.0,970.5,904.5,406.5
234,0,985.5,298.5,699.0,970.5,892.5,439.5
235,0,985.5,297.0,684.0,973.5,883.5,469.5
236,0,982.5,297.0,675.0,975.0,871.5,493.5
237,0,984.0,297.0,670.5,975.0,859.5,538.5
238,0,982.5,297.0,663.0,969.0,850.5,571.5
239,0,981.0,295.5,658.5,964.5,844.5,619.5
240,1,979.5,295.5,649.5,957.0,829.5,658.5
241,0,979.5,294.0,652.5,949.5,820.5,652.5
242,0,973.5,291.0,640.5,937.5,811.5,649.5
243,0,972.0,292.5,619.5,945.0,802.5,646.5
244,0,970.5,292.5,615.0,942.0,793.5,646.5
245,0,969.0,291.0,606.0,943.5,784.5,649.5
246,0,969.0,291.0,597.0,940.5,775.5,655.5
247,0,969.0,291.0,597.0,942.0,766.5,661.5
248,0,967.5,291.0,589.5,940.5,757.5,673.5
249,0,969.0,291.0,582.0,937.5,748.5,682.5
250,0,970.5,288.0,565.5,931.5,736.5,700.5
251,0,972.0,288.0,550.5,931.5,727.5,715.5
252,0,972.0,285.0,543.0,928.5,712.5,742.5
253,0,973.5,283.5,561.0,930.0,703.5,766.5
254,0,976.5,282.0,556.5,927.0,,
255,0,976.5,283.5,535.5,922.5,,
256,0,981.0,283.5,522.0,916.5,820.5,613.5
257,0,984.0,285.0,511.5,913.5,874.5,556.5
258,0,984.0,282.0,511.5,919.5,901.5,514.5
259,0,982.5,283.5,520.5,916.5,934.5,487.5
260,0,979.5,283.5,525.0,912.0,967.5,457.5
261,0,979.5,283.5,529.5,909.0,988.5,436.5
262,0,981.0,283.5,531.0,907.5,1015.5,412.5
263,0,985.5,283.5,532.5,906.0,1033.5,406.5
264,0,994.5,283.5,532.5,904.5,1057.5,394.5
265,0,1008.0,280.5,526.5,903.0,1075.5,388.5
266,0,1017.0,280.5,528.0,900.0,1090.5,382.5
267,0,1027.5,282.0,532.5,903.0,1108.5,379.5
268,0,1032.0,282.0,543.0,898.5,1123.5,376.5
269,0,1036.5,282.0,564.0,895.5,1135.5,379.5
270,1,1048.5,283.5,580.5,894.0,1150.5,382.5
271,0,1065.0,282.0,598.5,892.5,1156.5,373.5
272,0,1087.5,282.0,612.0,892.5,1165.5,346.5
273,0,1095.0,286.5,622.5,897.0,1174.5,328.5
274,0,1101.0,285.0,634.5,898.5,1180.5,313.5
275,0,1110.0,285.0,648.0,898.5,1189.5,295.5
276,0,1117.5,282.0,666.0,897.0,1195.5,283.5
277,0,1129.5,286.5,679.5,903.0,1204.5,274.5
278,0,1137.0,288.0,691.5,909.0,1207.5,265.5
279,0,1146.0,285.0,697.5,912.0,1210.5,256.5
280,0,1155.0,286.5,703.5,913.5,1222.5,250.5
281,0,1162.5,288.0,709.5,912.0,1228.5,247.5
282,0,1168.5,286.5,714.0,913.5,1228.5,241.5
283,0,1176.0,289.5,720.0,915.0,1240.5,244.5
284,0,1182.0,289.5,723.0,916.5,1228.5,241.5
285,0,1188.0,289.5,723.0,915.0,,
286,0,1188.0,291.0,723.0,916.5,,
287,0,1192.5,288.0,723.0,921.0,,
288,0,1195.5,291.0,714.0,921.0,,
289,0,1200.0,291.0,705.0,925.5,1168.5,250.5
290,0,1203.0,289.5,697.5,930.0,1135.5,244.5
291,0,1210.5,289.5,696.0,933.0,1117.5,247.5
292,0,1216.5,288.0,699.0,934.5,1090.5,247.5
293,0,1215.0,286.5,699.0,933.0,1072.5,262.5
294,0,1215.0,286.5,699.0,931.5,1051.5,274.5
295,0,1216.5,286.5,694.5,931.5,1027.5,286.5
296,0,1218.0,286.5,685.5,927.0,1003.5,301.5
297,0,1218.0,286.5,673.5,921.0,973.5,319.5
298,0,1221.0,288.0,664.5,919.5,952.5,337.5
299,0,1222.5,286.5,648.0,918.0,928.5,358.5
300,0,1227.0,289.5,643.5,916.5,889.5,385.5
301,0,1227.0,288.0,640.5,910.5,874.5,409.5
302,0,1221.0,288.0,634.5,928.5,844.5,442.5
303,0,1218.0,286.5,622.5,930.0,817.5,469.5
304,0,1210.5,286.5,610.5,939.0,784.5,493.5
305,0,1201.5,288.0,607.5,939.0,754.5,547.5
306,0,1194.0,285.0,606.0,934.5,727.5,580.5
307,0,1189.5,286.5,601.5,931.5,691.5,634.5
308,0,1182.0,288.0,595.5,934.5,661.5,679.5
309,0,1176.0,291.0,589.5,934.5,,
310,0,1168.5,289.5,585.0,931.5,,
311,0,1162.5,288.0,583.5,931.5,,
312,0,1152.0,289.5,580.5,933.0,,
313,0,1146.0,289.5,580.5,928.5,,
314,0,1144.5,289.5,579.0,927.0,496.5,802.5
315,0,1138.5,291.0,577.5,921.0,529.5,691.5
316,0,1131.0,289.5,585.0,930.0,556.5,643.5
317,0,1120.5,289.5,600.0,936.0,,
318,0,1110.0,289.5,612.0,925.5,601.5,535.5
319,0,1099.5,294.0,613.5,928.5,616.5,499.5
320,0,1092.0,294.0,609.0,928.5,634.5,460.5
321,0,1090.5,295.5,615.0,934.5,646.5,436.5
322,0,1089.0,295.5,624.0,934.5,661.5,412.5
323,0,1089.0,295.5,640.5,934.5,673.5,391.5
324,0,1086.0,297.0,646.5,931.5,682.5,379.5
325,0,1081.5,295.5,660.0,931.5,691.5,364.5
326,0,1060.5,294.0,670.5,931.5,700.5,355.5
327,0,1051.5,294.0,678.0,936.0,709.5,349.5
328,0,1038.0,291.0,681.0,937.5,715.5,343.5
329,0,1032.0,292.5,691.5,939.0,724.5,340.5
330,0,1026.0,292.5,697.5,937.5,727.5,337.5
331,0,1017.0,291.0,708.0,939.0,733.5,337.5
332,0,1003.5,295.5,718.5,934.5,742.5,343.5
333,0,988.5,294.0,733.5,934.5,748.5,343.5
334,0,973.5,294.0,748.5,928.5,754.5,346.5
335,1,957.0,294.0,765.0,921.0,757.5,352.5
336,0,945.0,291.0,774.0,939.0,760.5,334.5
337,0,933.0,292.5,792.0,933.0,766.5,313.5
338,0,922.5,292.5,810.0,939.0,769.5,295.5
339,0,910.5,292.5,832.5,945.0,775.5,283.5
340,0,904.5,295.5,844.5,945.0,775.5,271.5
341,0,900.0,292.5,855.0,943.5,781.5,259.5
342,0,897.0,291.0,862.5,945.0,784.5,250.5
343,0,889.5,291.0,868.5,946.5,790.5,241.5
344,0,882.0,295.5,879.0,942.0,790.5,235.5
345,0,874.5,292.5,889.5,939.0,796.5,229.5
346,0,859.5,292.5,900.0,942.0,802.5,223.5
347,0,853.5,292.5,915.0,945.0,808.5,229.5
348,0,840.0,291.0,928.5,946.5,,
349,0,831.0,292.5,942.0,954.0,,
350,0,819.0,295.5,951.0,963.0,,
351,0,811.5,294.0,958.5,970.5,883.5,274.5
352,0,808.5,294.0,961.5,969.0,904.5,292.5
353,0,807.0,294.0,957.0,970.5,925.5,310.5
354,0,804.0,294.0,961.5,975.0,943.5,328.5
355,0,802.5,294.0,972.0,972.0,970.5,358.5
